Economy,Ease of Doing Business Rank,Starting a Business,Dealing with Construction Permits,Getting Electricity,Registering Property,Getting Credit,Protecting Minority Investors,Paying Taxes,Trading across Borders,Enforcing Contracts,Resolving Insolvency
New Zealand,1,1,3,37,1,1,2,9,56,21,32
Singapore,2,6,16,12,19,29,4,7,42,2,27
Denmark,3,34,1,16,11,42,33,8,1,32,7
"Korea, Rep.",4,9,28,2,39,55,20,24,33,1,5
"Hong Kong SAR, China",5,3,5,4,55,29,9,3,31,28,43
United States,6,49,36,49,37,2,42,36,36,16,3
United Kingdom,7,14,14,9,47,29,10,23,28,31,14
Norway,8,19,21,23,14,77,10,28,22,8,6
Georgia,9,4,29,30,4,12,2,22,62,7,57
Sweden,10,13,27,6,9,77,29,27,18,36,16
"Macedonia, FYR",11,22,26,53,48,12,4,29,27,35,30
Estonia,12,12,8,41,6,42,76,14,17,11,44
Finland,13,26,37,20,27,55,62,12,34,46,2
Australia,14,7,6,47,51,6,57,26,95,3,18
"Taiwan, China",15,16,4,3,18,90,24,56,55,10,20
Lithuania,16,27,12,33,3,42,43,18,19,4,70
Ireland,17,8,30,35,40,42,10,4,47,98,17
Canada,18,2,54,105,33,12,8,16,46,114,11
Latvia,19,21,49,62,22,12,43,13,25,20,53
Germany,20,113,24,5,77,42,62,41,39,22,4
United Arab Emirates,21,51,2,1,10,90,10,1,91,12,69
Austria,22,118,42,22,31,77,29,39,1,9,23
Iceland,23,55,64,11,15,68,29,33,69,29,13
Malaysia,24,111,11,8,42,20,4,73,61,44,46
Mauritius,25,40,9,51,35,55,33,10,70,27,36
Thailand,26,36,43,13,68,42,16,67,57,34,26
Poland,27,120,41,54,38,29,51,51,1,55,22
Spain,28,86,123,42,53,68,24,34,1,26,19
Portugal,29,48,32,58,28,105,57,38,1,19,15
Czech Republic,30,81,127,15,32,42,62,53,1,91,25
France,31,25,18,26,100,90,33,54,1,15,28
Netherlands,32,20,76,52,30,105,62,20,1,69,8
Switzerland,33,73,62,7,16,68,108,19,38,45,45
Japan,34,106,50,17,52,77,62,68,51,51,1
Russian Federation,35,28,115,10,12,29,51,52,100,18,54
Kazakhstan,36,41,52,70,17,77,1,50,123,6,39
Slovenia,37,46,100,19,36,105,24,58,1,122,10
Belarus,38,30,22,25,5,90,40,96,30,24,68
Slovak Republic,39,83,91,57,7,55,89,49,1,84,42
Kosovo,40,10,122,106,34,12,89,45,48,49,49
Rwanda,41,78,112,119,2,6,16,31,87,85,78
Montenegro,42,60,78,127,76,12,51,70,44,42,37
Serbia,43,32,10,96,57,55,76,82,23,60,48
Moldova,44,23,165,80,20,42,33,32,35,62,65
Romania,45,64,150,147,45,20,57,42,1,17,51
Italy,46,66,96,28,23,105,62,112,1,108,24
Armenia,47,15,89,66,13,42,62,87,52,47,97
Hungary,48,79,90,110,29,29,108,93,1,13,62
Mexico,49,90,87,92,99,6,62,115,63,41,31
Bulgaria,50,95,51,141,67,42,24,90,21,40,50
Croatia,51,87,126,75,59,77,29,95,1,23,60
Belgium,52,16,39,103,138,105,57,59,1,52,11
Cyprus,53,50,120,67,92,68,43,44,45,138,21
Israel,54,37,65,77,130,55,16,99,60,92,29
Chile,55,65,15,44,61,90,57,72,68,56,52
Brunei Darussalam,56,58,48,24,136,2,40,104,144,61,60
Azerbaijan,57,18,161,102,21,122,10,35,83,38,47
Peru,58,114,61,63,44,20,51,121,92,63,84
Colombia,59,96,81,81,60,2,16,142,125,177,33
Turkey,60,80,96,55,46,77,20,88,71,30,139
Costa Rica,61,127,70,21,49,12,119,60,73,129,131
Mongolia,62,59,23,139,50,20,33,62,110,88,93
Luxembourg,63,70,7,31,88,173,119,21,1,14,86
Puerto Rico (U.S.),64,47,138,69,153,6,108,161,64,113,9
Albania,65,45,106,157,103,42,20,125,24,120,41
Bahrain,66,75,47,79,25,105,108,5,78,111,90
Greece,67,37,58,76,145,90,43,65,29,131,57
Vietnam,68,123,20,64,63,29,81,86,94,66,129
Morocco,69,35,17,72,86,105,62,25,65,57,134
Jamaica,70,5,98,91,128,20,81,122,130,127,35
Oman,71,31,60,61,54,133,124,11,72,67,98
Indonesia,72,144,108,38,106,55,43,114,112,145,38
El Salvador,73,140,139,88,69,20,160,61,43,105,84
Uzbekistan,74,11,135,27,73,55,62,78,168,39,87
Bhutan,75,88,82,56,56,77,124,17,26,25,168
Ukraine,76,52,35,128,64,29,81,43,119,82,149
Kyrgyz Republic,77,29,31,164,8,29,51,151,84,139,119
China,78,93,172,98,41,68,119,130,97,5,56
Panama,79,39,88,18,83,29,96,180,54,148,107
Kenya,80,117,124,71,125,29,62,92,106,90,95
Botswana,81,153,59,124,81,77,76,47,50,133,79
South Africa,82,136,94,112,107,68,24,46,147,115,55
Qatar,83,89,19,65,26,133,177,1,90,123,116
Malta,84,102,45,78,147,142,51,71,41,37,117
Zambia,85,101,69,155,149,2,89,15,150,128,89
Bosnia and Herzegovina,86,175,166,122,97,55,62,137,37,71,40
Samoa,87,33,83,60,66,105,76,64,148,86,137
Tunisia,88,100,95,48,93,105,119,140,96,76,63
Tonga,89,53,13,74,160,42,138,98,103,94,136
Vanuatu,90,128,151,86,80,29,108,57,143,135,96
St. Lucia,91,69,34,43,105,159,96,74,82,71,127
Saudi Arabia,92,135,38,59,24,90,10,76,161,83,168
San Marino,93,112,68,14,78,183,175,40,20,78,109
Uruguay,94,61,161,50,112,68,132,106,151,112,66
Seychelles,95,141,131,134,62,133,108,29,88,130,67
Kuwait,96,149,129,97,70,133,81,6,154,73,110
Guatemala,97,139,116,36,85,20,172,100,79,176,153
Dominica,98,67,74,46,164,142,96,77,81,79,132
Dominican Republic,99,116,62,108,79,105,96,149,59,136,121
India,100,156,181,29,154,29,4,119,146,164,103
Fiji,101,160,92,84,58,159,96,120,75,89,92
Trinidad and Tobago,102,71,119,33,151,55,62,162,126,173,72
Jordan,103,105,110,40,72,159,146,97,53,118,146
Lesotho,104,119,167,152,109,77,108,111,40,95,124
Nepal,105,109,157,133,84,90,62,146,76,153,76
Namibia,106,172,107,68,175,68,89,79,132,59,123
Antigua and Barbuda,107,126,99,39,118,159,96,144,101,33,128
Paraguay,108,146,72,104,75,122,138,127,120,70,100
Papua New Guinea,109,129,117,107,122,42,89,91,137,171,141
Malawi,110,152,144,166,96,6,96,134,117,151,138
Sri Lanka,111,77,76,93,157,122,43,158,86,165,88
Swaziland,112,158,102,159,115,77,138,63,32,169,114
Philippines,113,173,101,31,114,142,146,105,99,149,59
West Bank and Gaza,114,169,154,87,94,20,160,109,49,124,168
Honduras,115,150,113,144,91,12,129,164,115,152,142
Solomon Islands,116,94,57,113,152,90,108,37,156,156,143
Argentina,117,157,171,95,117,77,43,169,116,102,101
Ecuador,118,168,105,85,74,105,124,145,102,75,157
"Bahamas, The",119,108,86,117,167,142,129,55,157,74,64
Ghana,120,110,131,136,119,55,96,116,158,116,158
Belize,121,161,114,83,132,170,132,48,104,132,83
Uganda,122,165,148,173,124,55,108,84,127,64,113
Tajikistan,123,57,136,171,90,122,33,132,149,54,148
"Iran, Islamic Rep.",124,97,25,99,87,90,170,150,166,80,160
Brazil,125,176,170,45,131,105,43,184,139,47,80
Guyana,126,92,163,132,110,90,96,123,142,93,162
Cabo Verde,127,98,67,145,71,122,164,75,107,43,168
"Egypt, Arab Rep.",128,103,66,89,119,90,81,167,170,160,115
St. Vincent and the Grenadines,129,85,44,90,166,159,96,101,93,53,168
Palau,130,124,85,140,43,90,177,107,133,126,166
Nicaragua,131,138,174,100,148,105,167,159,74,87,102
Barbados,132,99,155,160,133,133,167,89,129,167,34
Lebanon,133,143,142,123,102,122,138,113,140,134,147
St. Kitts and Nevis,134,91,33,94,184,159,119,124,66,50,168
Cambodia,135,183,179,137,123,20,108,136,108,179,74
Maldives,136,68,54,143,174,133,132,118,152,106,139
Tanzania,137,162,156,82,142,55,129,154,182,58,108
Mozambique,138,137,56,150,104,159,138,117,109,184,75
Côte d'Ivoire,139,44,152,129,113,142,146,175,155,101,77
Senegal,140,63,145,118,121,142,138,178,135,142,91
Lao PDR,141,164,40,149,65,77,172,156,124,97,168
Grenada,142,82,128,73,141,142,132,141,131,76,168
Mali,143,104,134,154,137,142,146,166,85,159,94
Niger,144,24,164,162,116,142,146,160,122,137,112
Nigeria,145,130,147,172,179,6,33,171,183,96,145
"Gambia, The",146,171,118,156,129,122,164,169,105,107,130
Pakistan,147,142,141,167,170,105,20,172,171,156,82
Burkina Faso,148,74,53,179,140,142,146,153,113,163,104
Marshall Islands,149,72,71,126,187,90,177,83,67,99,167
Mauritania,150,43,109,148,98,159,108,179,138,65,168
Benin,151,56,46,174,127,142,146,174,136,170,105
Bolivia,152,179,158,101,144,133,146,186,89,109,99
Guinea,153,125,75,158,143,142,146,182,165,117,111
Djibouti,154,115,84,169,168,183,96,108,159,175,73
"Micronesia, Fed. Sts.",155,170,137,109,187,90,183,110,58,183,119
Togo,156,121,173,142,182,142,146,173,121,143,81
Kiribati,157,147,111,168,146,170,124,94,127,121,168
Comoros,158,166,79,135,111,122,146,168,111,180,168
Zimbabwe,159,180,175,161,108,105,89,143,153,166,155
Sierra Leone,160,83,182,178,165,159,81,85,162,100,159
Ethiopia,161,174,169,125,139,173,176,133,167,68,122
Madagascar,162,76,183,184,161,133,96,131,134,158,133
Cameroon,163,122,140,121,176,68,138,183,186,162,125
Burundi,164,42,168,182,95,177,132,138,164,150,144
Suriname,165,186,104,131,156,177,167,102,80,187,135
Algeria,166,145,146,120,163,177,170,157,181,103,71
Gabon,167,132,149,170,173,122,160,165,169,178,126
Iraq,168,154,93,116,101,186,124,129,179,144,168
São Tomé and Príncipe,169,148,103,115,171,159,187,135,114,185,168
Sudan,170,159,133,110,89,173,186,163,185,146,154
Myanmar,171,155,73,151,134,177,183,125,163,188,164
Liberia,172,54,184,176,183,105,177,69,177,174,106
Equatorial Guinea,173,182,160,146,162,122,146,177,174,104,168
Syrian Arab Republic,174,133,186,153,155,173,89,81,176,161,163
Angola,175,134,80,165,172,183,81,103,180,186,168
Guinea-Bissau,176,178,176,180,126,142,138,155,141,168,168
Bangladesh,177,131,130,185,185,159,76,152,173,189,152
Timor-Leste,178,151,159,114,187,170,81,139,98,190,168
"Congo, Rep.",179,177,125,181,177,133,146,185,184,155,118
Chad,180,185,153,177,159,142,160,188,172,154,150
Haiti,181,189,177,138,180,177,188,147,77,125,168
"Congo, Dem. Rep.",182,62,121,175,158,142,164,181,188,172,168
Afghanistan,183,107,185,163,186,105,189,176,175,181,161
Central African Republic,184,188,180,183,169,142,146,187,145,182,150
Libya,185,167,186,130,187,186,183,128,118,141,168
"Yemen, Rep.",186,163,186,187,82,186,132,80,189,140,156
South Sudan,187,181,178,187,181,177,177,66,178,81,168
"Venezuela, RB",188,190,143,186,135,122,177,189,187,147,165
Eritrea,189,184,186,187,178,186,172,148,189,119,168
Somalia,190,187,186,187,150,186,190,190,160,110,168
