"","Country","Region","X2015","X2016","X2017","diff"
"1","Latvia","Central and Eastern Europe",5.098,5.56,5.849999905,0.751999905
"2","Romania","Central and Eastern Europe",5.124,5.528,5.824999809,0.700999809000001
"3","Togo","Sub-Saharan Africa",2.839,3.303,3.494999886,0.655999886
"4","Senegal","Sub-Saharan Africa",3.904,4.219,4.534999847,0.630999847
"5","Gabon","Sub-Saharan Africa",3.896,4.121,4.465000153,0.569000153
"6","Egypt","Middle East and Northern Africa",4.194,4.362,4.735000134,0.541000134
"7","Ivory Coast","Sub-Saharan Africa",3.655,3.916,4.179999828,0.524999828
"8","Hungary","Central and Eastern Europe",4.8,5.145,5.323999882,0.523999882
"9","Bulgaria","Central and Eastern Europe",4.218,4.217,4.714000225,0.496000225
"10","Syria","Middle East and Northern Africa",3.006,3.069,3.461999893,0.455999893
"11","Nepal","Southern Asia",4.514,4.793,4.961999893,0.447999893
"12","Burkina Faso","Sub-Saharan Africa",3.587,3.739,4.032000065,0.445000065
"13","Cameroon","Sub-Saharan Africa",4.252,4.513,4.695000172,0.443000172000001
"14","Honduras","Latin America and Caribbean",4.788,4.871,5.181000233,0.393000233
"15","Lebanon","Middle East and Northern Africa",4.839,5.129,5.224999905,0.385999904999999
"16","Greece","Western Europe",4.857,5.033,5.227000237,0.370000237
"17","Philippines","Southeastern Asia",5.073,5.279,5.429999828,0.356999827999999
"18","Cambodia","Southeastern Asia",3.819,3.907,4.168000221,0.349000221
"19","Dominican Republic","Latin America and Caribbean",4.885,5.155,5.230000019,0.345000019
"20","Guatemala","Latin America and Caribbean",6.123,6.324,6.453999996,0.330999996
"21","Benin","Sub-Saharan Africa",3.34,3.484,3.657000065,0.317000065
"22","Malaysia","Southeastern Asia",5.77,6.005,6.084000111,0.314000111
"23","Congo (Brazzaville)","Sub-Saharan Africa",3.989,4.236,4.290999889,0.301999889
"24","Turkmenistan","Central and Eastern Europe",5.548,5.658,5.822000027,0.274000027
"25","Serbia","Central and Eastern Europe",5.123,5.177,5.394999981,0.271999981
"26","Chad","Sub-Saharan Africa",3.667,3.763,3.936000109,0.269000109
"27","Algeria","Middle East and Northern Africa",5.605,6.355,5.872000217,0.267000217
"28","Tajikistan","Central and Eastern Europe",4.786,4.996,5.040999889,0.254999889
"29","Russia","Central and Eastern Europe",5.716,5.856,5.962999821,0.246999821
"30","Nicaragua","Latin America and Caribbean",5.828,5.992,6.071000099,0.243000099
"31","Myanmar","Southeastern Asia",4.307,4.395,4.545000076,0.238000076
"32","Bosnia and Herzegovina","Central and Eastern Europe",4.949,5.163,5.18200016,0.23300016
"33","Malta","Western Europe",6.302,6.488,6.52699995,0.224999950000001
"34","Morocco","Middle East and Northern Africa",5.013,5.151,5.235000134,0.222000134
"35","Afghanistan","Southern Asia",3.575,3.36,3.79399991,0.21899991
"36","Sierra Leone","Sub-Saharan Africa",4.507,4.635,4.709000111,0.202000111
"37","Germany","Western Europe",6.75,6.994,6.951000214,0.201000214
"38","Mali","Sub-Saharan Africa",3.995,4.073,4.190000057,0.195000057
"39","South Africa","Sub-Saharan Africa",4.642,4.459,4.828999996,0.186999996
"40","Niger","Sub-Saharan Africa",3.845,3.856,4.027999878,0.182999878
"41","Estonia","Central and Eastern Europe",5.429,5.517,5.611000061,0.182000061
"42","Poland","Central and Eastern Europe",5.791,5.835,5.97300005,0.182000049999999
"43","Sri Lanka","Southern Asia",4.271,4.415,4.440000057,0.169000057
"44","Macedonia","Central and Eastern Europe",5.007,5.121,5.175000191,0.168000191
"45","Turkey","Middle East and Northern Africa",5.332,5.389,5.5,0.168
"46","Mauritius","Sub-Saharan Africa",5.477,5.648,5.629000187,0.152000187
"47","Uganda","Sub-Saharan Africa",3.931,3.739,4.080999851,0.149999851
"48","Jordan","Middle East and Northern Africa",5.192,5.303,5.335999966,0.143999966
"49","Kenya","Sub-Saharan Africa",4.419,4.356,4.552999973,0.133999973000001
"50","China","Eastern Asia",5.14,5.245,5.272999763,0.132999763
"51","Bahrain","Middle East and Northern Africa",5.96,6.218,6.086999893,0.126999893
"52","Taiwan","Eastern Asia",6.298,6.379,6.421999931,0.123999931
"53","North Cyprus","Western Europe",5.695,5.771,5.809999943,0.114999943
"54","Czech Republic","Central and Eastern Europe",6.505,6.596,6.609000206,0.104000206
"55","Slovakia","Central and Eastern Europe",5.995,6.078,6.09800005,0.103000049999999
"56","Portugal","Western Europe",5.102,5.123,5.195000172,0.093000172
"57","Mongolia","Eastern Asia",4.874,4.907,4.954999924,0.0809999240000003
"58","Pakistan","Southern Asia",5.194,5.132,5.269000053,0.0750000530000001
"59","Spain","Western Europe",6.329,6.361,6.402999878,0.0739998780000004
"60","Lithuania","Central and Eastern Europe",5.833,5.813,5.90199995,0.0689999500000003
"61","Tunisia","Middle East and Northern Africa",4.739,5.045,4.804999828,0.0659998279999998
"62","Finland","Western Europe",7.406,7.413,7.468999863,0.0629998629999999
"63","Palestinian Territories","Middle East and Northern Africa",4.715,4.754,4.775000095,0.0600000950000004
"64","Montenegro","Central and Eastern Europe",5.192,5.161,5.236999989,0.0449999889999999
"65","Ireland","Western Europe",6.94,6.907,6.977000237,0.037000237
"66","Ecuador","Latin America and Caribbean",5.975,5.976,6.007999897,0.0329998970000007
"67","New Zealand","Australia and New Zealand",7.286,7.334,7.31400013,0.0280001300000006
"68","Armenia","Central and Eastern Europe",4.35,4.36,4.375999928,0.0259999280000001
"69","Argentina","Latin America and Caribbean",6.574,6.65,6.598999977,0.0249999770000002
"70","Azerbaijan","Central and Eastern Europe",5.212,5.291,5.234000206,0.0220002060000004
"71","Italy","Western Europe",5.948,5.977,5.964000225,0.016000225
"72","Norway","Western Europe",7.522,7.498,7.537000179,0.0150001789999994
"73","Rwanda","Sub-Saharan Africa",3.465,3.515,3.470999956,0.00599995600000014
"74","Iran","Middle East and Northern Africa",4.686,4.813,4.691999912,0.00599991200000005
"75","Trinidad and Tobago","Latin America and Caribbean",6.168,6.168,6.168000221,2.20999999633875e-07
"76","Burundi","Sub-Saharan Africa",2.905,2.905,2.904999971,-2.89999997349355e-08
"77","Australia","Australia and New Zealand",7.284,7.313,7.28399992,-7.99999995138023e-08
"78","Netherlands","Western Europe",7.378,7.339,7.376999855,-0.0010001449999999
"79","Hong Kong","Eastern Asia",5.474,5.458,5.472000122,-0.00199987800000034
"80","Denmark","Western Europe",7.527,7.526,7.521999836,-0.00500016400000014
"81","Georgia","Central and Eastern Europe",4.297,4.252,4.285999775,-0.0110002250000001
"82","Chile","Latin America and Caribbean",6.67,6.705,6.65199995,-0.0180000499999995
"83","Uruguay","Latin America and Caribbean",6.485,6.545,6.453999996,-0.031000004
"84","Thailand","Southeastern Asia",6.455,6.474,6.423999786,-0.0310002139999996
"85","Uzbekistan","Central and Eastern Europe",6.003,5.987,5.971000195,-0.0319998049999999
"86","Kazakhstan","Central and Eastern Europe",5.855,5.919,5.818999767,-0.0360002330000002
"87","Madagascar","Sub-Saharan Africa",3.681,3.695,3.644000053,-0.036999947
"88","Belgium","Western Europe",6.937,6.929,6.890999794,-0.0460002060000004
"89","Moldova","Central and Eastern Europe",5.889,5.897,5.837999821,-0.0510001789999999
"90","Ethiopia","Sub-Saharan Africa",4.512,4.508,4.460000038,-0.0519999619999991
"91","Iceland","Western Europe",7.561,7.501,7.504000187,-0.056999813
"92","Israel","Middle East and Northern Africa",7.278,7.267,7.212999821,-0.0650001789999992
"93","Japan","Eastern Asia",5.987,5.921,5.920000076,-0.0669999240000001
"94","Bolivia","Latin America and Caribbean",5.89,5.822,5.822999954,-0.0670000459999995
"95","Saudi Arabia","Middle East and Northern Africa",6.411,6.379,6.343999863,-0.067000137
"96","Cyprus","Western Europe",5.689,5.546,5.620999813,-0.068000187
"97","Sweden","Western Europe",7.364,7.291,7.28399992,-0.0800000799999996
"98","Luxembourg","Western Europe",6.946,6.871,6.862999916,-0.083000084
"99","Bangladesh","Southern Asia",4.694,4.643,4.607999802,-0.0860001979999998
"100","Slovenia","Central and Eastern Europe",5.848,5.768,5.757999897,-0.0900001029999995
"101","Switzerland","Western Europe",7.587,7.509,7.493999958,-0.0930000419999999
"102","Peru","Latin America and Caribbean",5.824,5.743,5.715000153,-0.108999847
"103","Canada","North America",7.427,7.404,7.315999985,-0.111000014999999
