"","Economy","Region","Parameter","Rank"
"1","New Zealand","Australia and New Zealand","Ease.of.Doing.Business.Rank",1
"2","Singapore","Southeastern Asia","Ease.of.Doing.Business.Rank",2
"3","Denmark","Western Europe","Ease.of.Doing.Business.Rank",3
"4","Korea, Rep.",NA,"Ease.of.Doing.Business.Rank",4
"5","Hong Kong SAR, China",NA,"Ease.of.Doing.Business.Rank",5
"6","United States","North America","Ease.of.Doing.Business.Rank",6
"7","United Kingdom","Western Europe","Ease.of.Doing.Business.Rank",7
"8","Norway","Western Europe","Ease.of.Doing.Business.Rank",8
"9","Georgia","Central and Eastern Europe","Ease.of.Doing.Business.Rank",9
"10","Sweden","Western Europe","Ease.of.Doing.Business.Rank",10
"11","Macedonia, FYR",NA,"Ease.of.Doing.Business.Rank",11
"12","Estonia","Central and Eastern Europe","Ease.of.Doing.Business.Rank",12
"13","Finland","Western Europe","Ease.of.Doing.Business.Rank",13
"14","Australia","Australia and New Zealand","Ease.of.Doing.Business.Rank",14
"15","Taiwan, China",NA,"Ease.of.Doing.Business.Rank",15
"16","Lithuania","Central and Eastern Europe","Ease.of.Doing.Business.Rank",16
"17","Ireland","Western Europe","Ease.of.Doing.Business.Rank",17
"18","Canada","North America","Ease.of.Doing.Business.Rank",18
"19","Latvia","Central and Eastern Europe","Ease.of.Doing.Business.Rank",19
"20","Germany","Western Europe","Ease.of.Doing.Business.Rank",20
"21","United Arab Emirates","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",21
"22","Austria","Western Europe","Ease.of.Doing.Business.Rank",22
"23","Iceland","Western Europe","Ease.of.Doing.Business.Rank",23
"24","Malaysia","Southeastern Asia","Ease.of.Doing.Business.Rank",24
"25","Mauritius","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",25
"26","Thailand","Southeastern Asia","Ease.of.Doing.Business.Rank",26
"27","Poland","Central and Eastern Europe","Ease.of.Doing.Business.Rank",27
"28","Spain","Western Europe","Ease.of.Doing.Business.Rank",28
"29","Portugal","Western Europe","Ease.of.Doing.Business.Rank",29
"30","Czech Republic","Central and Eastern Europe","Ease.of.Doing.Business.Rank",30
"31","France","Western Europe","Ease.of.Doing.Business.Rank",31
"32","Netherlands","Western Europe","Ease.of.Doing.Business.Rank",32
"33","Switzerland","Western Europe","Ease.of.Doing.Business.Rank",33
"34","Japan","Eastern Asia","Ease.of.Doing.Business.Rank",34
"35","Russian Federation",NA,"Ease.of.Doing.Business.Rank",35
"36","Kazakhstan","Central and Eastern Europe","Ease.of.Doing.Business.Rank",36
"37","Slovenia","Central and Eastern Europe","Ease.of.Doing.Business.Rank",37
"38","Belarus","Central and Eastern Europe","Ease.of.Doing.Business.Rank",38
"39","Slovak Republic",NA,"Ease.of.Doing.Business.Rank",39
"40","Kosovo","Central and Eastern Europe","Ease.of.Doing.Business.Rank",40
"41","Rwanda","Sub-Saharan Africa","Ease.of.Doing.Business.Rank",41
"42","Montenegro","Central and Eastern Europe","Ease.of.Doing.Business.Rank",42
"43","Serbia","Central and Eastern Europe","Ease.of.Doing.Business.Rank",43
"44","Moldova","Central and Eastern Europe","Ease.of.Doing.Business.Rank",44
"45","Romania","Central and Eastern Europe","Ease.of.Doing.Business.Rank",45
"46","Italy","Western Europe","Ease.of.Doing.Business.Rank",46
"47","Armenia","Central and Eastern Europe","Ease.of.Doing.Business.Rank",47
"48","Hungary","Central and Eastern Europe","Ease.of.Doing.Business.Rank",48
"49","Mexico","Latin America and Caribbean","Ease.of.Doing.Business.Rank",49
"50","Bulgaria","Central and Eastern Europe","Ease.of.Doing.Business.Rank",50
"51","Croatia","Central and Eastern Europe","Ease.of.Doing.Business.Rank",51
"52","Belgium","Western Europe","Ease.of.Doing.Business.Rank",52
"53","Cyprus","Western Europe","Ease.of.Doing.Business.Rank",53
"54","Israel","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",54
"55","Chile","Latin America and Caribbean","Ease.of.Doing.Business.Rank",55
"56","Brunei Darussalam",NA,"Ease.of.Doing.Business.Rank",56
"57","Azerbaijan","Central and Eastern Europe","Ease.of.Doing.Business.Rank",57
"58","Peru","Latin America and Caribbean","Ease.of.Doing.Business.Rank",58
"59","Colombia","Latin America and Caribbean","Ease.of.Doing.Business.Rank",59
"60","Turkey","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",60
"61","Costa Rica","Latin America and Caribbean","Ease.of.Doing.Business.Rank",61
"62","Mongolia","Eastern Asia","Ease.of.Doing.Business.Rank",62
"63","Luxembourg","Western Europe","Ease.of.Doing.Business.Rank",63
"64","Puerto Rico (U.S.)",NA,"Ease.of.Doing.Business.Rank",64
"65","Albania","Central and Eastern Europe","Ease.of.Doing.Business.Rank",65
"66","Bahrain","Middle East and Northern Africa","Ease.of.Doing.Business.Rank",66
"67","Greece","Western Europe","Ease.of.Doing.Business.Rank",67
